Point number,X,Y
1,228,676
2,245,661
3,249,651
4,255,645
5,256,639
6,267,629
7,282,613
8,288,603
9,299,590
10,306,582
11,314,572
12,327,564
13,332,554
14,338,548
15,342,540
16,356,526
17,363,515
18,368,506
19,368,489
20,370,480
21,374,473
22,375,462
23,378,455
24,380,448
25,381,444
26,381,441
27,388,435
28,392,429
29,399,423
30,401,412
31,408,402
32,413,391
33,417,382
34,422,373
35,427,364
36,432,355
37,436,346
38,440,337
39,445,327
40,450,318
41,454,309
42,459,300
43,463,291
44,472,273
45,477,264
46,482,255
47,486,246
48,491,237
49,495,228
50,500,218
51,505,209
52,509,200
53,514,191
54,518,182
55,523,173
56,527,164
57,532,154
58,536,145
59,541,136
60,546,127
61,549,119
62,554,110
63,559,100
64,563,91
65,568,82
66,572,73
67,577,64
68,581,55
69,586,45
70,591,36
